CustomerID,Cluster
C0001,1
C0002,4
C0003,1
C0004,0
C0005,4
C0006,1
C0007,4
C0008,0
C0009,2
C0010,4
C0011,1
C0012,3
C0013,0
C0014,2
C0015,2
C0016,1
C0017,0
C0018,3
C0019,1
C0020,2
C0021,0
C0022,3
C0023,3
C0024,1
C0025,4
C0026,1
C0027,4
C0028,0
C0029,4
C0030,1
C0031,4
C0032,2
C0033,2
C0034,1
C0035,4
C0036,4
C0037,3
C0038,1
C0039,3
C0040,4
C0041,0
C0042,4
C0043,4
C0044,4
C0045,0
C0046,0
C0047,1
C0048,1
C0049,1
C0050,4
C0051,3
C0052,4
C0053,3
C0054,0
C0055,1
C0056,1
C0057,3
C0058,2
C0059,0
C0060,2
C0061,4
C0062,4
C0063,2
C0064,3
C0065,0
C0066,4
C0067,1
C0068,0
C0069,1
C0070,4
C0071,4
C0072,1
C0073,4
C0074,4
C0075,0
C0076,1
C0077,4
C0078,2
C0079,1
C0080,2
C0081,3
C0082,0
C0083,2
C0084,0
C0085,4
C0086,1
C0087,0
C0088,4
C0089,4
C0090,3
C0091,3
C0092,4
C0093,0
C0094,4
C0095,2
C0096,3
C0097,2
C0098,1
C0099,0
C0100,3
C0101,0
C0102,0
C0103,4
C0104,0
C0105,3
C0106,1
C0107,1
C0108,3
C0109,0
C0110,2
C0111,1
C0112,4
C0113,0
C0114,3
C0115,4
C0116,1
C0117,1
C0118,1
C0119,4
C0120,4
C0121,4
C0122,3
C0123,2
C0124,3
C0125,1
C0126,3
C0127,1
C0128,2
C0129,4
C0130,2
C0131,4
C0132,4
C0133,4
C0134,1
C0135,4
C0136,3
C0137,1
C0138,3
C0139,1
C0140,2
C0141,0
C0142,4
C0143,0
C0144,4
C0145,0
C0146,4
C0147,1
C0148,3
C0149,3
C0150,2
C0151,2
C0152,1
C0153,3
C0154,1
C0155,3
C0156,0
C0157,1
C0158,1
C0159,4
C0160,1
C0161,1
C0162,0
C0163,3
C0164,1
C0165,0
C0166,4
C0167,4
C0168,3
C0169,3
C0170,3
C0171,3
C0172,1
C0173,0
C0174,1
C0175,0
C0176,4
C0177,4
C0178,4
C0179,3
C0181,1
C0182,3
C0183,1
C0184,1
C0185,4
C0186,4
C0187,1
C0188,0
C0189,1
C0190,1
C0191,1
C0192,4
C0193,4
C0194,1
C0195,3
C0196,3
C0197,4
C0198,2
C0199,4
C0200,3
