CustomerID,Lookalikes
C0001,"[('C0137', 0.507), ('C0191', 0.505), ('C0152', 0.502)]"
C0002,"[('C0159', 0.958), ('C0043', 0.71), ('C0186', 0.691)]"
C0003,"[('C0031', 0.899), ('C0158', 0.807), ('C0052', 0.538)]"
C0004,"[('C0065', 0.887), ('C0104', 0.85), ('C0099', 0.847)]"
C0005,"[('C0097', 0.806), ('C0078', 0.805), ('C0080', 0.804)]"
C0006,"[('C0187', 0.939), ('C0168', 0.589), ('C0079', 0.579)]"
C0007,"[('C0140', 0.972), ('C0078', 0.762), ('C0080', 0.762)]"
C0008,"[('C0109', 0.827), ('C0075', 0.812), ('C0065', 0.802)]"
C0009,"[('C0060', 0.862), ('C0014', 0.86), ('C0198', 0.86)]"
C0010,"[('C0132', 0.87), ('C0061', 0.854), ('C0121', 0.679)]"
C0011,"[('C0048', 0.503), ('C0107', 0.499), ('C0001', 0.489)]"
C0012,"[('C0087', 0.799), ('C0082', 0.795), ('C0102', 0.793)]"
C0013,"[('C0099', 0.847), ('C0104', 0.845), ('C0188', 0.839)]"
C0014,"[('C0060', 0.999), ('C0089', 0.929), ('C0097', 0.915)]"
C0015,"[('C0058', 0.887), ('C0033', 0.885), ('C0020', 0.878)]"
C0016,"[('C0183', 0.512), ('C0154', 0.512), ('C0107', 0.504)]"
C0017,"[('C0075', 0.864), ('C0041', 0.802), ('C0124', 0.793)]"
C0018,"[('C0065', 0.742), ('C0046', 0.659), ('C0068', 0.644)]"
C0019,"[('C0172', 0.651), ('C0119', 0.601), ('C0103', 0.558)]"
C0020,"[('C0058', 0.903), ('C0130', 0.902), ('C0033', 0.902)]"
